file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/ConsignApplication.java,consign.ConsignApplication,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/web/TWAConf.java,org.myproject.ms.monitoring.instrument.web.TWAConf$SkipPatternProviderConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-route-service/src/main/java/route/entity/Route.java,route.entity.Route,class,8,11,3,8,3,1,0,2,0,0.26666668,1.0,1.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,2,24,0,0,0,0,0,2,1,11,0,5,0,0,0,0,15,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/test/java/consign/controller/ConsignControllerTest.java,consign.controller.ConsignControllerTest,class,12,12,0,12,7,1,0,30,0,0.35714287,1.0,1.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,2,44,0,0,0,0,0,7,0,13,2,15,0,0,0,0,38,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/web/TPWriter.java,org.myproject.ms.monitoring.instrument.web.TPWriter,class,4,5,1,4,37,3,0,40,0,0.61904764,1.0,1.0,35,0,34,0,0,1,35,0,0,0,3,1,0,3,0,0,3,0,3,120,8,0,0,0,0,2,0,3,0,3,1,0,0,0,44,0,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-basic-service/src/main/java/fdse/microservice/config/SecurityConfig.java,fdse.microservice.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/trace/DChainer.java,org.myproject.ms.monitoring.trace.DChainer,class,17,19,2,17,44,1,0,55,77,0.76608187,0.35833332,0.45833334,19,0,15,3,0,1,16,0,0,0,9,2,0,9,0,0,9,0,18,172,23,0,12,0,0,6,3,26,3,21,3,1,0,0,85,1,3
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/msg/HBMExtra.java,org.myproject.ms.monitoring.instrument.msg.HBMExtra,class,6,8,2,6,18,1,0,32,15,0.0,0.0,0.0,6,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,60,6,1,4,0,0,0,4,8,2,7,2,0,0,0,41,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-train-food-service/src/main/java/trainFood/entity/TrainFood.java,trainFood.entity.TrainFood,class,12,16,4,12,1,1,0,0,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,6,1,1,0,3,0,0,0,0,16,1,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-train-food-service/src/main/java/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,interface,3,4,1,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
