file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"pay/2[inside_payment.service.PaymentInfo,inside_payment.service.HttpHeaders]",false,46,10,2,0,2,9,29,75,5,22,2,29,2,2,2,3,0,0,21,8,27,5,3,1,0,0,53,1,5,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"queryAccount/2[java.lang.String,inside_payment.service.HttpHeaders]",false,212,3,0,0,0,3,9,17,1,8,2,9,0,0,2,0,0,0,2,0,8,0,1,0,0,0,17,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"payDifference/2[inside_payment.service.PaymentInfo,inside_payment.service.HttpHeaders]",false,260,8,1,0,1,5,20,46,3,15,2,20,1,1,2,1,0,0,8,5,15,1,2,0,0,0,38,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"setOrderStatus/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",false,330,5,2,1,1,3,4,17,1,8,3,4,1,1,0,0,0,0,8,1,9,2,1,0,0,0,25,2,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"createAccount/2[inside_payment.service.AccountInfo,inside_payment.service.HttpHeaders]",false,142,4,0,0,0,2,9,15,2,2,2,9,0,0,0,0,0,0,3,2,2,0,1,0,0,0,9,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryAccount/1[inside_payment.service.HttpHeaders],false,173,5,0,0,0,5,23,36,1,17,1,23,0,0,3,0,0,0,2,1,18,0,2,0,0,0,29,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryAddMoney/1[inside_payment.service.HttpHeaders],false,320,3,0,0,0,3,3,10,2,1,1,3,0,0,0,1,0,0,3,2,1,0,1,0,0,0,10,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,getServiceUrl/1[java.lang.String],false,41,0,3,3,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryPayment/1[inside_payment.service.HttpHeaders],false,234,3,0,0,0,3,3,10,2,1,1,3,0,0,0,1,0,0,3,2,1,0,1,0,0,0,10,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-inside-payment-service/src/main/java/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"addMoney/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",false,158,3,0,0,0,2,6,14,2,1,3,6,0,0,0,1,0,0,3,2,1,0,1,0,0,0,8,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,TestServiceTravel$TravelInfo,"TravelInfo/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,36,0,1,1,0,1,0,9,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,false
